House of Dust                       (2013, Horror, Thriller              A.D. Calvo                    Inbar Lavi, Steven Grayhm, ...]
The Case of the Black Parrot        (1941, Crime, Drama, Mystery         Noel M. Smith                 William Lundigan, Maris Wri...]
La naissance de l'amour             (1993, Drama                         Philippe Garrel               Lou Castel, Jean-Pierre Léa...]
Rogues of Sherwood Forest           (1950, Adventure, Drama              Gordon Douglas                John Derek, Diana Lynn, Geo...]
Mince alors!                        (2012, Comedy                        Charlotte de Turckheim        Victoria Abril, Lola Dewaer...]
Héraðið                             (2019, Comedy, Drama                 Grímur Hákonarson             Arndís Hrönn Egilsdóttir, S...]
The Bang Bang Brokers               (2017, Action, Comedy, Crime         David N. Donihue              Erik-Michael Estrada, David...]
Magic Mike XXL                      (2015, Comedy, Drama, Music          Gregory Jacobs                Channing Tatum, Juan Piedra...]
Scorned 2                           (1997, Drama, Thriller               Rodney McDonald               Tane McClure, Andrew Steven...]
London Has Fallen                   (2016, Action, Thriller              Babak Najafi                  Alon Aboutboul, Waleed Zuai...]
The Guvnors                         (2014, Thriller                      Gabe Turner                   Tom Davis, Rochelle Neil, J...]
Fu ji                               (1978, Drama, Action                 Bruce Li                      Bruce Li, Lieh Lo, Yuan Chu...]
The Huntress: Rune of the Dead      (2019, Action, Horror, Thriller      Rasmus Tirzitis               Moa Enqvist Stefansdotter, ...]
How to Make Love to a Woman         (2010, Comedy                        Scott Culver                  Josh Meyers, Krysten Ritter...]
13 Rue Madeleine                    (1946, Action, Adventure, Drama      Henry Hathaway                James Cagney, Annabella, Ri...]
Apám beájulna                       (2003, Adventure, Comedy, Romance    Tamás Sas                     Kata Gáspár, Boglarka Csösz...]
Boy s tenyu 3. Posledniy raund      (2011, Action, Crime, Drama          Aleksey Sidorov               Stephen Au, Olga Dibtseva, ...]
Silvestre                           (1981, Drama                         João César Monteiro           Maria de Medeiros, Teresa M...]
Trahir                              (1993, Drama, History                Radu Mihaileanu               Johan Leysen, Alexandru Rep...]
Mummy an' the Armadillo             (2004, Drama, Thriller               J.S. Cardone                  Betty Buckley, Lori Heuring...]
Kozara                              (1962, Drama, War                    Veljko Bulajic                Bert Sotlar, Velimir 'Bata'...]
Love Me Tonight                     (1932, Comedy, Musical, Romance      Rouben Mamoulian              Maurice Chevalier, Jeanette...]
Hibakusha                           (2012, Animation, Biography, History Choz Belen, Steve Nguyen      James Bak, Yuan-Kwan Chan, ...]
Arkham Sanitarium: Soul Eater       (2014, Horror                        Julian Grant                  Shannon Brown, Rinska Carra...]
Cuckoo                              (2014, Drama, Romance                Raju Murugan                  Dinesh, Malavika Nair, Elan...]
The Diabolical                      (2015, Horror, Sci-Fi                Alistair Legrand              Ali Larter, Arjun Gupta, Ma...]
Shan he gu ren                      (2015, Drama, Romance                Zhangke Jia                   Tao Zhao, Yi Zhang, Jing Do...]
Gli occhi, la bocca                 (1982, Drama                         Marco Bellocchio              Lou Castel, Ángela Molina, ...]
Oedipus Rex                         (1957, Drama                         Tyrone Guthrie, Abraham Pol...Douglas Campbell, Eleanor S...]
Gone Dark                           (2013, Action                        Pascal                        Pascal, Leif Gantvoort, Mad...]
La fille de Brest                   (2016, Biography, Drama              Emmanuelle Bercot             Sidse Babett Knudsen, Benoî...]
Little Joe                          (2019, Drama, Sci-Fi                 Jessica Hausner               Emily Beecham, Ben Whishaw,...]
Le clan des Siciliens               (1969, Crime, Drama                  Henri Verneuil                Jean Gabin, Alain Delon, Li...]
The Black Cat                       (1966, Horror                        Harold Hoffman                Robert Frost, Robyn Baker, ...]
Spaceship                           (2016, Drama                         Alex Taylor                   Alexa Davies, Steven Elder,...]
Citizen Duane                       (2006, Comedy                        Michael Mabbott               Douglas Smith, Devon Bostic...]
Agente Ñero Ñero 7                  (2016, Comedy                        Gabriel Casilimas             Fernando Monge, Christophe ...]
El taxista ful                      (2005, Drama                         Jo Sol                        Pepe Rovira, Marc Sempere, ...]
Holubice                            (1960, Drama                         Frantisek Vlácil              Katerina Irmanovová, Karel ...]
The Flying Machine                  (2011, Animation, Adventure, Family  Martin Clapp, Geoff Lindsey   Heather Graham, Benedict Wo...]
Peur(s) du noir                     (2007, Animation, Horror, Mystery    Blutch, Charles Burns         Gil Alma, Aure Atika, Franç...]
Bill & Ted's Bogus Journey          (1991, Adventure, Comedy, Fantasy    Peter Hewitt                  Keanu Reeves, Alex Winter, ...]
The Crossing 2                      (2015, Drama, History, Romance       John Woo                      Ziyi Zhang, Takeshi Kaneshi...]
The Education of Little Tree        (1997, Drama                         Richard Friedenberg           James Cromwell, Tantoo Card...]
Chor Machaye Shor                   (1974, Action, Musical, Romance      Ashok Roy                     Shashi Kapoor, Mumtaz, Asra...]
Jaws 19                             (2015, Action, Horror, Sci-Fi        Sergey A., Ivan Yakovidish    Ivan Yakovidish, Sergey A.,...]
Eva y Lola                          (2010, Drama, Music, Romance         Sabrina Farji                 Celeste Cid, Mariela Vitale...]
Saka yapma                          (1981, Comedy, Drama                 Osman F. Seden                Zeki Alasya, Metin Akpinar,...]
Wesele                              (2004, Comedy, Drama                 Wojciech Smarzowski           Marian Dziedziel, Tamara Ar...]
Mil-jeong                           (2016, Action, Drama, Thriller       Jee-woon Kim                  Kang-ho Song, Byung-Hun Lee...]
Memento Mori                        (2018, Horror                        Michaël Vermaercke            Charlotte De Wulf, Felix Me...]
Long zai jiang hu                   (1998, Action, Crime, Drama          Jing Wong                     Andy Lau, Gigi Leung, Suki ...]
Mördaren ljuger inte ensam          (2013, Crime                         Birger Larsen                 Tuva Novotny, Linus Wahlgre...]
The Whispering Shadow               (1933, Action, Crime, Horror         Colbert Clark, Albert Herman  Bela Lugosi, Viva Tattersal...]
Superman III                        (1983, Action, Adventure, Comedy     Richard Lester                Christopher Reeve, Richard ...]
ROT: Reunion of Terror              (2008, Horror                        Michael Hoffman Jr.           Christian Anderson, Alvie B...]
7 Letters                           (2015, Drama                         Junfeng Boo, Eric Khoo        Faizal Abdullah, Aric Hidir...]
Pizza Connection                    (1985, Crime, Drama                  Damiano Damiani               Michele Placido, Mark Chase...]
Unelma karjamajalla                 (1940, Drama, Romance                Teuvo Tulio                   Sirkka Salonen, Olga Tainio...]
My Friend Irma Goes West            (1950, Comedy, Crime, Musical        Hal Walker                    John Lund, Marie Wilson, Di...]
Stefano Quantestorie                (1993, Comedy, Drama                 Maurizio Nichetti             Maurizio Nichetti, Elena So...]
Road to Hell                        (2008, Action, Fantasy, Musical      Albert Pyun                   Michael Paré, Clare Kramer,...]
Kid Cannabis                        (2014, Biography, Comedy, Crime      John Stockwell                Jonathan Daniel Brown, Kenn...]
Il soldato di ventura               (1976, Action, Adventure, Comedy     Pasquale Festa Campanile      Bud Spencer, Franco Agostin...]
Getno                               (2004, Comedy                        András Salamon                Károly Gesztesi, Levente Ki...]
Heidi's Song                        (1982, Animation, Family, Musical    Robert Taylor                 Lorne Greene, Sammy Davis J...]
Halbe Brüder                        (2015, Comedy, Crime, Drama          Christian Alvart              Sido, Peri Baumeister, Wils...]
Sprakeloos                          (2017, Drama                         Hilde Van Mieghem             Flor Decleir, Marie Vinck, ...]
Get Big                             (2017, Comedy, Drama                 Dylan Anthony Moran           Paulina Alvarez, Lisa Alvil...]
Km 31-2                             (2016, Horror                        Rigoberto Castañeda           Carlos Aragón, Mauricio Gar...]
Bloodletting                        (1997, Horror                        Matthew Jason Walsh           Ariauna Albright, James L. ...]
Séptimo                             (2013, Crime, Mystery, Thriller      Patxi Amezcua                 Ricardo Darín, Belén Rueda,...]
Shaun of the Dead                   (2004, Comedy, Horror                Edgar Wright                  Simon Pegg, Kate Ashfield, ...]
Shala                               (2011, Romance                       Sujay Dahake                  Anshuman Joshi, Ketaki Mate...]
Trick                               (2019, Horror                        Patrick Lussier               Omar Epps, Jamie Kennedy, T...]
Under sandet                        (2015, Drama, History, War           Martin Zandvliet              Roland Møller, Louis Hofman...]
Teenage Seductress                  (1975, Drama                         Chris Warfield                Sondra Currie, Chris Warfie...]
Hotel Gagarin                       (2018, Comedy                        Simone Spada                  Claudio Amendola, Luca Arge...]
Psychopaths                         (2017, Horror                        Mickey Keating                Ashley Bell, James Landry H...]
L'ennemi public n° 1                (1953, Comedy                        Henri Verneuil                Fernandel, Zsa Zsa Gabor, L...]
L'ira di Achille                    (1962, Adventure, Drama, History     Marino Girolami               Gordon Mitchell, Jacques Be...]
Dio non paga il sabato              (1967, Western                       Tanio Boccia                  Larry Ward, Rod Dana, Furio...]
Hail the Conquering Hero            (1944, Comedy, War                   Preston Sturges               Eddie Bracken, Ella Raines,...]
Tombstone                           (1993, Action, Biography, Drama      George P. Cosmatos, Kevin J...Kurt Russell, Val Kilmer, S...]
Above the Shadows                   (2019, Fantasy, Romance              Claudia Myers                 Megan Fox, Olivia Thirlby, ...]
Velaiilla Pattadhari 2              (2017, Action, Comedy                Soundarya R. Ashwin           Riaz Ahmed, Karrthik Ahuja,...]
Lima: Breaking the Silence          (1999, Crime, Drama                  Menahem Golan                 Joe Lara, Billy Drago, Chri...]
Into the White                      (2012, Action, Biography, Drama      Petter Næss                   Florian Lukas, David Kross,...]
Die Rothschilds                     (1940, Biography, Drama              Erich Waschneck               Erich Ponto, Carl Kuhlmann,...]
Double Agent 73                     (1974, Action                        Doris Wishman                 Chesty Morgan, Frank Silvan...]
The Music Man                       (1962, Comedy, Family, Musical       Morton DaCosta                Robert Preston, Shirley Jon...]
Payback Season                      (2012, Drama, Thriller               Danny Donnelly                Adam Deacon, Nichola Burley...]
City of Hope                        (1991, Crime, Drama                  John Sayles                   Vincent Spano, Stephen Mend...]
The Hurricane Express               (1932, Action, Adventure, Crime      J.P. McGowan, Armand Schaefer Tully Marshall, Conway Tear...]
Joysticks                           (1983, Comedy                        Greydon Clark                 Joe Don Baker, Leif Green, ...]
Boreg                               (2014, Drama                         Shira Geffen                  Sarah Adler, Samira Saraya,...]
Java Heat                           (2013, Action, Crime, Drama          Conor Allyn                   Kellan Lutz, Ario Bayu, Mic...]
Dead Country                        (2008, Horror                        Andrew Merkelbach             Mandy Kane, Ted V. Mikels, ...]
General Nil                         (2009, Biography, Drama, History     Ryszard Bugajski              Olgierd Lukaszewicz, Alicja...]
Quick                               (2019, Thriller                      Mikael Håfström               Jonas Karlsson, David Denci...]
Heroes Don't Come Home              (2016, Action, Drama, War            Jake Hulse                    Andrew Casanova, Tyler McEl...]
A Cottage on Dartmoor               (1929, Crime, Drama                  Anthony Asquith               Hans Adalbert Schlettow, Un...]
Non ci resta che piangere           (1984, Comedy, Fantasy               Roberto Benigni, Massimo Tr...Massimo Troisi, Roberto Ben...]
The Last Island                     (1990, Drama, Sci-Fi                 Marleen Gorris                Kenneth Colley, Paul Freema...]
Danse avec lui                      (2007, Drama                         Valérie Guignabodet           Mathilde Seigner, Sami Frey...]
Nonfilm                             (2002, Comedy                        Quentin Dupieux               Bernard Amsellem, Thomas Be...]
Mau Mau Maria                       (2014, Comedy, Drama, Romance        José Alberto Pinheiro         António Raminhos, Eduardo M...]
Rovaniemen markkinoilla             (1951, Comedy, Musical               Jorma Nortimo                 Esa Pakarinen, Reino Helism...]
Oshibka rezidenta                   (1968, Thriller                      Venyamin Dorman               Georgi Zhzhyonov, Mikhail N...]
American Drive-In                   (1985, Comedy                        Krishna Shah                  Emily Longstreth, Patrick K...]
The Hoarder                         (2015, Crime, Horror, Thriller       Matt Winn                     Mischa Barton, Robert Knepp...]
Tukaram                             (2012, Biography, Drama, History     Chandrakant Kulkarni          Jitendra Joshi, Radhika Apt...]
Dead Man's Cards                    (2006, Action, Crime, Drama          James Marquand                Paul Barber, Tom Bell, Sama...]
The Last Word                       (2017, Comedy, Drama                 Mark Pellington               Shirley MacLaine, Amanda Se...]
Wanted - Matloubin                  (2019, Comedy                        Nibal Arakji                  Walid Arakji, Badih Abou Ch...]
Come mi vuoi                        (1997, Drama, Comedy                 Carmine Amoroso               Enrico Lo Verso, Vincent Ca...]
The Babymoon                        (2017, Action, Adventure, Comedy     Bailey Kobe                   Julie McNiven, Shaun Sipos,...]
Wesh Egram                          (2006, Comedy, Crime, Romance        Wael Ihsan                    Mohamed Henedi, Bushra, Kha...]
Bail Enforcers                      (2011, Action                        Patrick McBrearty             Trish Stratus, Frank J. Zup...]
Suomisen perhe                      (1941, Drama                         T.J. Särkkä                   Yrjö Tuominen, Elsa Turakai...]
Tom & Thomas                        (2002, Family                        Esmé Lammers                  Aaron Taylor-Johnson, Ryan ...]
Bronson                             (2008, Action, Biography, Crime      Nicolas Winding Refn          Tom Hardy, Kelly Adams, Lui...]
Creatures from the Pink Lagoon      (2006, Comedy, Horror                Chris Diani                   Nick Garrison, Lowell Deo, ...]
Un garibaldino al convento          (1942, Comedy, Drama                 Vittorio De Sica              Leonardo Cortese, María Mer...]
After Sex                           (2007, Comedy, Drama, Romance        Eric Amadio                   Marc Blucas, Jose Pablo Can...]
Night and Day                       (2010, Drama                         Shawn Bell                    Joshua Dov, Katheryn Winnic...]
The Sword in the Stone              (1963, Animation, Adventure, Comedy  Wolfgang Reitherman           Sebastian Cabot, Karl Swens...]
Devil Bat's Daughter                (1946, Horror                        Frank Wisbar                  Rosemary La Planche, John J...]
I Hate Luv Storys                   (2010, Comedy, Drama, Romance        Punit Malhotra                Imran Khan, Sonam Kapoor, S...]
Quarter Life Crisis                 (2006, Comedy, Drama, Romance        Kiran Merchant                Maulik Pancholy, Lisa Ray, ...]
Alienated                           (2015, Drama                         Brian Ackley                  George Katt, Jen L. Burry, ...]
Clifford's Really Big Movie         (2004, Animation, Adventure, Comedy  Robert C. Ramirez, Steve Tr...John Ritter, Wayne Brady, G...]
The Concorde... Airport '79         (1979, Action, Drama, Thriller       David Lowell Rich             Alain Delon, Susan Blakely,...]
Sexual Aberration (Sesso perverso)  (1979, Adventure                     Bruno Mattei                  Norbert Gastell, Esther Mos...]
Axeman at Cutter's Creek            (2013, Horror                        Joston Theney                 Tiffany Shepis, Brinke Stev...]
Flying Down to Rio                  (1933, Comedy, Musical, Romance      Thornton Freeland             Dolores del Rio, Gene Raymo...]
Creep Van                           (2012, Horror                        Scott W. McKinlay             Brian Kolodziej, Amy Wehrel...]
Man of the Year                     (2006, Comedy, Drama, Romance        Barry Levinson                Robin Williams, Christopher...]
Pourquoi tu pleures?                (2011, Comedy                        Katia Lewkowicz               Benjamin Biolay, Emmanuelle...]
Head Office                         (1985, Comedy                        Ken Finkleman                 Judge Reinhold, Lori-Nan En...]
Guns of Darkness                    (1962, Drama                         Anthony Asquith               Leslie Caron, David Niven, ...]
Mr. Magoo                           (1997, Adventure, Comedy, Family     Stanley Tong                  Leslie Nielsen, Kelly Lynch...]
Hell Ride                           (2008, Action, Drama, Thriller       Larry Bishop                  Julia Jones, Larry Bishop, ...]
Mukunda Murari                      (2016, Comedy, Drama, Fantasy        Nandakishore                  Upendra, Sudeep, P. Ravi Sh...]
Dang doi lai ming                   (1984, Action, War                   Po-Chih Leong                 Yun-Fat Chow, Cecilia Yip, ...]
First Men in the Moon               (1964, Adventure, Sci-Fi             Nathan Juran                  Edward Judd, Martha Hyer, L...]
Artois the Goat                     (2009, Comedy                        Cliff Bogart, Kyle Bogart     Mark Meir, Sydney Andrews, ...]
Meet the Hollowheads                (1989, Comedy, Horror, Sci-Fi        Thomas R. Burman              John Glover, Nancy Mette, R...]
AKA                                 (2002, Drama, Romance                Duncan Roy                    Matthew Leitch, Diana Quick...]
Breaking Barbi                      (2019, Comedy                        Edward G. Negron              Vera VanGuard, Paul Logan, ...]
A Prayer Before Dawn                (2017, Biography, Crime, Drama       Jean-Stéphane Sauvaire        Joe Cole, Cherry Miko, Vith...]
Jawani Diwani: A Youthful Joyride   (2006, Romance                       Manish Sharma                 Emraan Hashmi, Celina Jaitl...]
Suicídio Encomendado                (2007, Comedy                        Artur Serra Araújo            João Fino, José Wallenstein...]
Trotta                              (1971, Drama                         Johannes Schaaf               András Bálint, Rosemarie Fe...]
Warhead                             (1996, Action, Thriller              Mark Roper                    Frank Zagarino, Joe Lara, E...]
Mayrig                              (1991, Drama                         Henri Verneuil                Claudia Cardinale, Omar Sha...]
Junimond                            (2002, Drama, Romance                Hanno Hackfort                Oliver Mommsen, Laura Tonke...]
No Good Deed                        (2014, Action, Crime, Drama          Sam Miller                    Idris Elba, Taraji P. Henso...]
The Sword of Bushido                (1990, Action                        Adrian Carr                   Richard Norton, Rochelle As...]
Streghe verso nord                  (2001, Comedy, Fantasy               Giovanni Veronesi             Teo Mammucari, Paul Sorvino...]
The Insomniac                       (2013, Crime, Drama, Mystery         Monty Miranda                 Eddy Salazar, Clare Grant, ...]
Huntress: Spirit of the Night       (1995, Horror                        Mark Manos                    Jenna Bodnar, George Alexan...]
Devil's Path                        (2018, Drama, Thriller               Matthew Montgomery            Stephen Twardokus, JD Scalz...]
Robin Hood: The Rebellion           (2018, Action, Adventure, History    Nicholas Winter               Martyn Ford, Brian Blessed,...]
The Raven                           (2012, Crime, Mystery, Thriller      James McTeigue                John Cusack, Luke Evans, Al...]
Andaz Apna Apna                     (1994, Comedy, Family, Romance       Rajkumar Santoshi             Aamir Khan, Salman Khan, Ra...]
Cayman Went                         (2009, Drama, Family                 Bobby Sheehan                 Michael Lombardi, Susan Mis...]
Ecstasy                             (2011, Drama, Romance                Robert Heydon                 Adam Sinclair, Kristin Kreu...]
Sprawa Gorgonowej                   (1977, Crime, Drama, Mystery         Janusz Majewski               Ewa Dalkowska, Aleksander B...]
Mandroid                            (1993, Action, Sci-Fi                Jack Ersgard                  Brian Cousins, Jane Caldwel...]
Ruan Lingyu                         (1991, Biography, Drama, Romance     Stanley Kwan                  Maggie Cheung, Han Chin, To...]
Ruzové sny                          (1977, Comedy                        Dusan Hanák                   Juraj Nvota, Iva Bittová, J...]
The Terminal Man                    (1974, Horror, Sci-Fi, Thriller      Mike Hodges                   George Segal, Joan Hackett,...]
Perfect Pie                         (2002, Drama                         Barbara Willis Sweete         Wendy Crewson, Barbara Will...]
Sâdo                                (1978, Crime, Drama                  Yôichi Higashi                Toshiyuki Nagashima, Tsugia...]
Funny Valentine                     (2005, Comedy, Romance               Jeff Oppenheim                Anthony Michael Hall, Marlo...]
Wake Wood                           (2009, Drama, Horror, Thriller       David Keating                 Aidan Gillen, Eva Birthistl...]
Gunshy                              (1998, Crime, Drama                  Jeff Celentano                Al Vicente, R. Lee Ermey, W...]
Union Bound                         (2019, Action, Drama, History        Harvey Lowry                  Drew Seeley, Randy Wayne, I...]
Joyong-han saesang                  (2006, Drama, Mystery, Thriller      Ui-seok Jo                    Sang-kyung Kim, Yong-woo Pa...]
Az aranyember                       (1962, Drama, History, Romance       Viktor Gertler                András Csorba, Ilona Béres,...]
La taularde                         (2015, Drama                         Audrey Estrougo               Sophie Marceau, Marie-Sohna...]
Dragon Fire                         (1993, Action, Drama, Sci-Fi         Rick Jacobson                 Dominick LaBanca, Pamela Po...]
Say Goodnight                       (2008, Comedy                        David VonAllmen               Rob Benedict, Smith Cho, Ch...]
Antisocial Behavior                 (2014, Horror                        Kenneth Guertin               Jackson Kuehn, Mary Elizabe...]
Chrichina                           (1954, Comedy, Romance               Siko Dolidze, Levan Khotivari Leila Abashidze, Tsetsilia ...]
A Woman's Vengeance                 (1948, Drama, Film-Noir, Mystery     Zoltan Korda                  Charles Boyer, Ann Blyth, J...]
China Town                          (1962, Comedy, Crime, Romance        Shakti Samanta                Shammi Kapoor, Shakila, Hel...]
After Last Season                   (2009, Animation, Drama, Sci-Fi      Mark Region                   Jason Kulas, Peggy McClella...]
Nobel Son                           (2007, Comedy, Crime, Drama          Randall Miller                Alan Rickman, Bryan Greenbe...]
Mein erstes Wunder                  (2002, Drama                         Anne Wild                     Henriette Confurius, Leonar...]
Jakten på nyresteinen               (1996, Adventure, Family, Sci-Fi     Vibeke Idsøe                  Torbjörn T. Jensen, Jenny S...]
The Spider Woman Strikes Back       (1946, Drama, Horror, Thriller       Arthur Lubin                  Gale Sondergaard, Brenda Jo...]
Broken Bridges                      (2006, Drama, Music                  Steven Goldmann               Brian F. Durkin, Jason Leit...]
Star Wars: Episode VIII - The La... (2017, Action, Adventure, Fantasy    Rian Johnson                  Mark Hamill, Carrie Fisher,...]
I Think I Love My Wife              (2007, Comedy, Drama, Romance        Chris Rock                    Chris Rock, Kerry Washingto...]
Bad Hurt                            (2015, Drama                         Mark Kemble                   Ashley Williams, Theo Rossi...]
The Neon Demon                      (2016, Horror, Thriller              Nicolas Winding Refn          Elle Fanning, Karl Glusman,...]
Al Hafla                            (2013, Action, Drama, Mystery        Ahmad Ala El-Dib              Ahmed Ezz, Muhammad Ragab, ...]
Justice League vs. the Fatal Five   (2019, Animation, Action, Fantasy    Sam Liu                       Elyes Gabel, Diane Guerrero...]
Idole instantanée                   (2005, Comedy                        Yves Desgagnés                Claudine Mercier, Denys Arc...]
Thor: Ragnarok                      (2017, Action, Adventure, Comedy     Taika Waititi                 Chris Hemsworth, Tom Hiddle...]
Son of a Lion                       (2007, Drama, War                    Benjamin Gilmour              Niaz Khan Shinwari, Baktiya...]
El marido perfecto                  (1993, Drama                         Beda Docampo Feijóo           Tim Roth, Peter Firth, Ana ...]
4 latas                             (2019, Comedy, Drama                 Gerardo Olivares              Jean Reno, Hovik Keuchkeria...]
O! Beu-ra-deo-seu                   (2003, Comedy, Drama, Family         Yong-hwa Kim                  Jung-jae Lee, Beom-su Lee, ...]
The Geisha Boy                      (1958, Comedy                        Frank Tashlin                 Jerry Lewis, Marie McDonald...]
Ostatni dzien lata                  (1958, Drama, Romance                Tadeusz Konwicki              Irena Laskowska, Jan Machulski]
Casa de mi Padre                    (2012, Comedy, Western               Matt Piedmont                 Will Ferrell, Diego Luna, P...]
La ciudad no es para mí             (1966, Comedy                        Pedro Lazaga                  Paco Martínez Soria, Doris ...]
Rats - Notte di terrore             (1984, Horror, Sci-Fi                Bruno Mattei, Claudio FragassoOttaviano Dell'Acqua, Geret...]
The Flying Scotsman                 (2006, Drama, Sport                  Douglas Mackinnon             Jonny Lee Miller, Sean Brow...]
Raggare!                            (1959, Adventure, Drama              Olle Hellbom                  Christina Schollin, Bill Ma...]
Mascarades                          (2008, Comedy                        Lyès Salem                    Lyès Salem, Sarah Reguieg, ...]
Y Llyfrgell                         (2016, Thriller                      Euros Lyn                     Dyfan Dwyfor, Carwyn Glyn, ...]
Sternenberg                         (2004, Comedy, Romance               Christoph Schaub              Sara Capretti, Mathias Gnäd...]
Le Fidèle                           (2017, Crime, Drama, Romance         Michaël R. Roskam             Matthias Schoenaerts, Adèle...]
Poseidon Rex                        (2013, Action, Adventure, Comedy     Mark L. Lester                Brian Krause, Anne McDaniel...]
Aambala                             (2015, Action, Comedy                Sundar C.                     Vishal, Hansika Motwani, Pr...]
Lokas                               (2008, Comedy                        Gonzalo Justiniano            Rodrigo Bastidas, Coco Legr...]
Hold That Kiss                      (1938, Comedy, Romance               Edwin L. Marin                Maureen O'Sullivan, Dennis ...]
Live Cargo                          (2016, Drama, Thriller               Logan Sandler                 Dree Hemingway, LaKeith Sta...]
Dangerous Indiscretion              (1995, Drama, Thriller               Richard Kletter               Wendy Abbott, Alex Doduk, J...]
Une pour toutes                     (1999, Comedy, Romance               Claude Lelouch                Jean-Pierre Marielle, Anne ...]
Ten Little Indians                  (1989, Crime, Mystery, Thriller      Alan Birkinshaw               Donald Pleasence, Brenda Va...]
Traktor, ljubezen in Rock'n'Roll    (2008, Comedy, Drama, Romance        Branko Djuric                 Tanja Ribic, Branko Djuric,...]
End of the Line                     (2007, Horror, Thriller              Maurice Devereaux             Ilona Elkin, Nicolas Wright...]
Town & Country                      (2001, Comedy, Romance               Peter Chelsom                 Warren Beatty, Nastassja Ki...]
La guerra degli Antò                (1999, Comedy                        Riccardo Milani               Flavio Pistilli, Federico D...]
La nuit de Varennes                 (1982, Drama, History                Ettore Scola                  Jean-Louis Barrault, Marcel...]
Abnormal Attraction                 (2018, Adventure, Comedy, Fantasy    Michael Leavy                 Tyler Mane, Malcolm McDowel...]
Grounds for Marriage                (1951, Comedy, Musical               Robert Z. Leonard             Van Johnson, Kathryn Grayso...]
Triple Frontier                     (2019, Action, Adventure, Crime      J.C. Chandor                  Ben Affleck, Oscar Isaac, C...]
Perlicky na dne                     (1965, Comedy                        Vera Chytilová, Jaromil Jires Pavla Marsálková, Ferdinand...]
Amazonia                            (2013, Adventure, Comedy, Family     Thierry Ragobert              Lúcio Mauro Filho, Isabelle...]
Entourage                           (2015, Comedy                        Doug Ellin                    Kevin Connolly, Adrian Gren...]
Mishawr Rawhoshyo                   (2013, Thriller                      Srijit Mukherji               Prasenjit Chatterjee, Indra...]
The Army of Shadows                 (1969, Drama, War                    Jean-Pierre Melville          Lino Ventura, Paul Meurisse...]
Invasion                            (2017, Crime, Drama, Mystery         Shahram Mokri                 Abed Abest, Elaheh Bakhshi,...]
Le violon rouge                     (1998, Drama, Music, Mystery         François Girard               Carlo Cecchi, Irene Graziol...]
Prishelets                          (2018, Adventure, Drama, Sci-Fi      Alexander Kulikov, Mikhail ...Anna Banshchikova, Alexande...]
Chouans!                            (1988, Adventure, History, War       Philippe de Broca             Philippe Noiret, Vincent Sc...]
La regina delle Amazzoni            (1960, Adventure, Fantasy            Vittorio Sala                 Dorian Gray, Rod Taylor, Gi...]
Thikka                              (2016, Action, Comedy                Sunil K. Reddy                Ajay, Ali, Anand, Raghu Bab...]
Furnace                             (2007, Crime, Horror, Mystery        William Butler                Michael Paré, Ja Rule, Jenn...]
Karamati Coat                       (1993, Comedy                        Ajay Karthik                  Prachi Save, Swapnesh Sawan...]
Madre                               (2019, Drama, Thriller               Rodrigo Sorogoyen             Marta Nieto, Jules Porier, ...]
Zánik samoty Berhof                 (1984, Drama                         Jirí Svoboda                  Jana Brejchová, Radoslav Br...]
Juleblod                            (2017, Horror                        Reinert Kiil                  Julianne Aga, Pernille Bagg...]
Gefangene Frauen                    (1980, Adventure, Action             Erwin C. Dietrich             Karine Gambier, Brigitte La...]
Bad Boys II                         (2003, Action, Comedy, Crime         Michael Bay                   Martin Lawrence, Will Smith...]
Redeemer                            (2014, Action, Crime                 Ernesto Díaz Espinoza         Marko Zaror, José Luís Mósc...]
Adam & Steve                        (2005, Comedy, Drama, Music          Craig Chester                 Malcolm Gets, Cary Curran, ...]
White Rainbow                       (2004, Drama                         Dharan Mandrayar              Sonali Kulkarni, Amardeep J...]
Bucket List                         (2018, Family                        Tejas Prabhaa Vijay Deoskar   Atharva Bedekar, Shantanu S...]
Naken                               (2000, Comedy, Fantasy, Romance      Mårten Knutsson, Torkel Knu...Henrik Norberg, Lisa Kock, ...]
Wang-ui namja                       (2005, Drama, History                Joon-ik Lee                   Woo-seong Kam, Jin-young Ju...]
Valdez, il mezzosangue              (1973, Action, Adventure, Drama      John Sturges, Duilio Coletti  Charles Bronson, Jill Irela...]
Tutti gli uomini del deficiente     (1999, Comedy                        Paolo Costella                Arnoldo Foà, Bebo Storti, C...]
Underdog Kids                       (2015, Action, Family                Phillip Rhee                  Phillip Rhee, Mirelly Taylo...]
Pirates of the Plain                (1999, Adventure, Family, Fantasy    John R. Cherry III            Tim Curry, Seth Adkins, Jef...]
Corporate Animals                   (2019, Comedy, Horror                Patrick Brice                 Demi Moore, Ed Helms, Jessi...]
Five Days from Home                 (1978, Action, Crime, Drama          George Peppard                Sherry Boucher, Neville Bra...]
Soue Tafahom                        (2015, Comedy, Romance               Ahmad Samir Farag             Cyrine AbdelNour, Ahmed Els...]
Ko-ri-a                             (2012, Drama, Sport                  Hyeon-seong Moon              Ji-won Ha, Doona Bae, Han Y...]
On Dangerous Ground                 (1951, Drama, Film-Noir              Nicholas Ray, Ida Lupino      Ida Lupino, Robert Ryan, Wa...]
