Deadpool 2                          (2018, Action, Adventure, Comedy     David Leitch                  Ryan Reynolds, Josh Brolin,...]
Vixen!                              (1968, Drama                         Russ Meyer                    Erica Gavin, Garth Pillsbur...]
Santa Fe Trail                      (1940, Adventure, Biography, Drama   Michael Curtiz                Errol Flynn, Olivia de Havi...]
Nowhere Boys: The Book of Shadows   (2016, Drama, Fantasy, Sci-Fi        David Caesar                  Dougie Baldwin, Joel Lok, R...]
Brothers in Arms                    (2017, Comedy, Thriller              Caleb J. Phillips             Nick Tag, Dexter Masland, Z...]
Manhood                             (2003, Comedy, Drama                 Bobby Roth                    Nestor Carbonell, John Ritt...]
I rymden finns inga känslor         (2010, Comedy, Drama, Romance        Andreas Öhman                 Bill Skarsgård, Martin Wall...]
Die Hölle                           (2017, Action, Crime, Thriller       Stefan Ruzowitzky             Violetta Schurawlow, Tobias...]
Cinema Six                          (2012, Comedy                        Mark Potts, Cole Selix        John Merriman, Brand Rackle...]
Drinking Games                      (1998, Drama                         Joseph Lawson                 Christian Leffler, Dinah Le...]
Plein sud                           (2009, Drama, Romance                Sébastien Lifshitz            Yannick Renier, Léa Seydoux...]
Lucky, el intrépido                 (1967, Action, Adventure, Thriller   Jesús Franco                  Ray Danton, Barbara Bold, D...]
Amongst Friends                     (1993, Crime, Drama                  Rob Weiss                     Chris Santos, Michael Leb, ...]
Pardonnez-moi                       (2006, Drama                         Maïwenn                       Maïwenn, Pascal Greggory, H...]
Oikogeneia Horafa                   (1968, Comedy, Drama                 Kostas Asimakopoulos          Alekos Alexandrakis, Maro K...]
The Adventures of Mark Twain        (1985, Animation, Adventure, Family  Will Vinton                   James Whitmore, Michele Mar...]
I Hate Love                         (2012, Comedy, Drama                 Humberto Hinojosa Ozcariz     Rodrigo Azuela, Mar Carrera...]
Angus, Thongs and Perfect Snogging  (2008, Comedy, Drama, Romance        Gurinder Chadha               Georgia Groome, Aaron Taylo...]
Scanners III: The Takeover          (1991, Action, Horror, Sci-Fi        Christian Duguay              Liliana Komorowska, Valérie...]
Il giardino delle delizie           (1967, Drama                         Silvano Agosti                Maurice Ronet, Evelyn Stewa...]
Fuga di cervelli                    (2013, Comedy                        Paolo Ruffini                 Guglielmo Scilla, Frank Mat...]
Grazie zia                          (1968, Comedy, Drama, Romance        Salvatore Samperi             Lisa Gastoni, Lou Castel, G...]
Oh Boy                              (2012, Comedy, Drama                 Jan-Ole Gerster               Tom Schilling, Katharina Sc...]
GhostWatcher                        (2002, Horror, Mystery, Sci-Fi       David A. Cross                Jillian Byrnes, Marianne Ha...]
Thank You for Your Service          (2017, Biography, Drama, War         Jason Hall                    Miles Teller, Beulah Koale,...]
Marseille                           (2016, Comedy, Drama                 Kad Merad                     Kad Merad, Patrick Bosso, V...]
A Kind of Magic                     (2015, Comedy, Fantasy, Romance      Tosca Musk                    Nikki Deloach, Ryan McPartl...]
Primo amore                         (2004, Drama, Romance                Matteo Garrone                Michela Cescon, Vitaliano T...]
Tristan + Isolde                    (2006, Action, Drama, Romance        Kevin Reynolds                James Franco, Sophia Myles,...]
Sang Penari                         (2011, Romance                       Ifa Isfansyah                 Prisia Nasution, Oka Antara...]
Le glaive et la balance             (1963, Crime, Drama                  André Cayatte                 Anthony Perkins, Jean-Claud...]
Rattlesnake                         (2019, Drama, Horror, Mystery        Zak Hilditch                  Carmen Ejogo, Theo Rossi, E...]
Mrigaya                             (1989, Adventure, Drama              I.V. Sasi                     Paravoor Bharathan, Mammoot...]
